antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
['LUNCH BAG DOLLY GIRL DESIGN'],['LUNCH BAG  BLACK SKULL.'],0.02726453357368184,0.04835511491662911,0.011897251013970257,0.43636363636363634,9.024146403456749,1.0,0.01057887135986658,1.6884022154704965,0.9141089491158985,0.1867043847241867,0.4077240654879524,0.34120138947725154
['LUNCH BAG SUKI DESIGN '],['LUNCH BAG CARS BLUE'],0.041279855790896804,0.044569625957638574,0.01775574583145561,0.4301310043668122,9.65076540636963,1.0,0.01591591809927008,1.6765789705417682,0.9349769910507763,0.26075446724023826,0.4035473320550711,0.41425660430676303
['LUNCH BAG CARS BLUE'],['LUNCH BAG  BLACK SKULL.'],0.044569625957638574,0.04835511491662911,0.01915277151870212,0.42972699696663297,8.886898474081628,1.0,0.01699760213372933,1.6687531761479677,0.9288743871681969,0.25962125839951133,0.4007502042283272,0.41290636893998006
['JUMBO BAG PINK VINTAGE PAISLEY'],['JUMBO SHOPPER VINTAGE RED PAISLEY'],0.027670121676430823,0.036097341144659754,0.011716989634970707,0.42345276872964166,11.73085760063764,1.0,0.010718171813302339,1.6718537642293188,0.9407864151051025,0.2251082251082251,0.40186156146200147,0.37402351295408426
['LUNCH BAG DOLLY GIRL DESIGN'],['LUNCH BAG SUKI DESIGN '],0.02726453357368184,0.041279855790896804,0.011536728255971159,0.42314049586776864,10.250532318019417,1.0,0.010411252241843508,1.661964719904033,0.9277384468380819,0.20237154150197628,0.39830251026162383,0.3513082392002599
['60 TEATIME FAIRY CAKE CASES'],['PACK OF 60 PINK PAISLEY CAKE CASES'],0.02992338891392519,0.030419107706173953,0.012618296529968454,0.4216867469879518,13.862561356537258,1.0,0.011708053739662033,1.6765669595914072,0.9564845170624229,0.2644003777148253,0.40354305905938415,0.4182507809013833
['HAND OVER THE CHOCOLATE   SIGN '],['GIN + TONIC DIET METAL SIGN'],0.02672374943668319,0.029833258224425417,0.011266336187471835,0.4215851602023609,14.131381729441674,1.0,0.010469079669802423,1.677285358230075,0.954750011575682,0.24875621890547264,0.4037985277262351,0.39961433236704147
['LUNCH BAG VINTAGE LEAF DESIGN'],['LUNCH BAG SUKI DESIGN '],0.02708427219468229,0.041279855790896804,0.011401532221721496,0.42096505823627284,10.197832578889622,1.0,0.010283497371323615,1.6557207088208936,0.9270483779160701,0.20015822784810128,0.39603340426167594,0.3485829657993591
"['JUMBO BAG RED RETROSPOT', 'JUMBO BAG PINK POLKADOT']",['JUMBO BAG STRAWBERRY'],0.024966200991437586,0.030058584948174854,0.010500225326723749,0.42057761732851984,13.9919300277659,1.0,0.009749776653389415,1.6739798876595362,0.9523056866754424,0.23582995951417002,0.40262125765552453,0.38495147732992707
['LUNCH BAG WOODLAND'],['LUNCH BAG  BLACK SKULL.'],0.03780982424515548,0.04835511491662911,0.01586300135196034,0.41954707985697254,8.676374372811017,1.0,0.014034702955608299,1.6394867732750473,0.9195110352506376,0.22564102564102562,0.39005302372620265,0.3737996349890641
['PACK OF 60 DINOSAUR CAKE CASES'],['60 TEATIME FAIRY CAKE CASES'],0.023974763406940065,0.02992338891392519,0.010049571879224875,0.41917293233082703,14.008203868103994,1.0,0.009332165709679666,1.6701642624524007,0.9514234117241239,0.22918807810894137,0.4012564976503322,0.3775081529124015
['LUNCH BAG SPACEBOY DESIGN '],['LUNCH BAG  BLACK SKULL.'],0.045110410094637225,0.04835511491662911,0.018882379450202793,0.41858141858141856,8.656404173645553,1.0,0.016701060386140346,1.6367637971966567,0.926262681215126,0.25317220543806646,0.3890382951329109,0.40453768039974936
['JUMBO BAG PINK VINTAGE PAISLEY'],['JUMBO BAG PINK POLKADOT'],0.027670121676430823,0.039837764758900406,0.011581793600721046,0.4185667752442997,10.50678364555544,1.0,0.010479477802525243,1.651371463411863,0.9305724475530528,0.20709105560032234,0.3944427270567451,0.3546453785723761
['LUNCH BAG DOLLY GIRL DESIGN'],['LUNCH BAG WOODLAND'],0.02726453357368184,0.03780982424515548,0.011401532221721496,0.41818181818181815,11.060136526167513,1.0,0.010370664999174444,1.653764364578639,0.9350797151806307,0.21242653232577663,0.39531893332652074,0.35986564091450857
['LUNCH BAG SUKI DESIGN '],['LUNCH BAG SPACEBOY DESIGN '],0.041279855790896804,0.045110410094637225,0.01721496169445696,0.41703056768558944,9.24466363330992,1.0,0.015352810471082121,1.6379754014106969,0.930229215713008,0.24885993485342017,0.38949022119699983,0.3993244746519855
['LUNCH BAG VINTAGE DOILY '],['JUMBO BAG VINTAGE DOILY '],0.024560612888688597,0.02857142857142857,0.010229833258224425,0.41651376146788993,14.577981651376149,1.0,0.009528101461404752,1.6648697214734953,0.9548552279829813,0.23844537815126046,0.39935240151106316,0.38727896275287244
['LUNCH BAG APPLE DESIGN'],['LUNCH BAG SUKI DESIGN '],0.03956737269040108,0.041279855790896804,0.016313654799459214,0.4123006833712984,9.987939043678068,1.0,0.01468031936077479,1.6313106329759546,0.9369519726909229,0.25279329608938544,0.38699596521618457,0.4037485949607583
['LUNCH BAG VINTAGE LEAF DESIGN'],['LUNCH BAG ALPHABET DESIGN'],0.02708427219468229,0.029743127534925643,0.011131140153222172,0.410981697171381,13.817702818534764,1.0,0.010325569191145096,1.6472440122924001,0.9534526411054661,0.24358974358974358,0.3929253999179259,0.3926120607069026
['RETROSPOT HEART HOT WATER BOTTLE'],['SCOTTIE DOG HOT WATER BOTTLE'],0.02438035150968905,0.029878323569175306,0.010004506534474988,0.41035120147874304,13.734077165630932,1.0,0.009276062503338267,1.6452533760159127,0.9503584835701793,0.22606924643584522,0.39219088404391267,0.37259641521900955
['LUNCH BAG DOLLY GIRL DESIGN'],['LUNCH BAG CARS BLUE'],0.02726453357368184,0.044569625957638574,0.011131140153222172,0.40826446280991735,9.160150080639097,1.0,0.009915970089933694,1.6146239561330409,0.9158003524339795,0.18337045285820341,0.3806607438211436,0.3290058411117332
['LUNCH BAG VINTAGE LEAF DESIGN'],['LUNCH BAG  BLACK SKULL.'],0.02708427219468229,0.04835511491662911,0.01099594411897251,0.4059900166389351,8.396009756959897,1.0,0.009686281024565384,1.6020688401543581,0.9054184014476102,0.1706293706293706,0.3758070970885054,0.3166949151228226
"['JUMBO BAG RED RETROSPOT', 'JUMBO BAG PINK POLKADOT']",['JUMBO STORAGE BAG SUKI'],0.024966200991437586,0.03564668769716088,0.010049571879224875,0.4025270758122743,11.29213124181336,1.0,0.009159609509498552,1.614053580108075,0.9347806802646643,0.19875222816399285,0.38044188103529913,0.3422243470085392
['JUMBO BAG APPLES'],['LUNCH BAG APPLE DESIGN'],0.03330328977016674,0.03956737269040108,0.013384407390716538,0.40189445196211093,10.157218552436495,1.0,0.01206668371256393,1.605791202673741,0.9326067223601139,0.22499999999999998,0.37725403007879327,0.3700816223364085
['LUNCH BAG CARS BLUE'],['LUNCH BAG SPACEBOY DESIGN '],0.044569625957638574,0.045110410094637225,0.017800811176205498,0.3993933265925177,8.853684232855112,1.0,0.015790257071491835,1.5898750916101074,0.9284325613969726,0.2476489028213166,0.3710197704982759,0.39699936059895613
